Type,Path,Artifacts,Size (bytes),Size
python,C:\Users\mengu\PycharmProjects\scythe,4,63343769,60.41 MB
python,C:\Users\mengu\PycharmProjects\scythe,4,63343769,60.41 MB
python,C:\Users\mengu\PycharmProjects\scythe,4,63343769,60.41 MB
python,C:\Users\mengu\PycharmProjects\scythe,4,63343769,60.41 MB
python,C:\Users\mengu\PycharmProjects\scythe,4,63343769,60.41 MB
python,C:\Users\mengu\PycharmProjects\scythe,4,63343769,60.41 MB
python,C:\Users\mengu\PycharmProjects\scythe,4,63343769,60.41 MB
python,C:\Users\mengu\PycharmProjects\scythe,4,63343769,60.41 MB
python,C:\Users\mengu\PycharmProjects\scythe,4,63343769,60.41 MB
python,C:\Users\mengu\PycharmProjects\scythe,4,63343769,60.41 MB
python,C:\Users\mengu\PycharmProjects\scythe,4,63343769,60.41 MB
python,C:\Users\mengu\PycharmProjects\scythe,4,63343769,60.41 MB
python,C:\Users\mengu\PycharmProjects\scythe,4,63343769,60.41 MB
python,C:\Users\mengu\PycharmProjects\scythe,4,63343769,60.41 MB
python,C:\Users\mengu\PycharmProjects\scythe,4,63343769,60.41 MB
python,C:\Users\mengu\PycharmProjects\scythe,4,63343769,60.41 MB
python,C:\Users\mengu\PycharmProjects\scythe,4,63343769,60.41 MB
python,C:\Users\mengu\PycharmProjects\scythe,4,63343769,60.41 MB
python,C:\Users\mengu\PycharmProjects\scythe,4,63343769,60.41 MB
python,C:\Users\mengu\PycharmProjects\scythe,4,63343769,60.41 MB
python,C:\Users\mengu\PycharmProjects\scythe,4,63343769,60.41 MB
python,C:\Users\mengu\PycharmProjects\scythe,4,63343769,60.41 MB
python,C:\Users\mengu\PycharmProjects\scythe,4,63343769,60.41 MB
python,C:\Users\mengu\PycharmProjects\scythe,4,63343769,60.41 MB
python,C:\Users\mengu\PycharmProjects\scythe,4,63343769,60.41 MB
python,C:\Users\mengu\PycharmProjects\scythe,4,63343769,60.41 MB
python,C:\Users\mengu\PycharmProjects\scythe,4,63343769,60.41 MB
python,C:\Users\mengu\PycharmProjects\scythe,4,63343769,60.41 MB
python,C:\Users\mengu\PycharmProjects\scythe,4,63343769,60.41 MB
python,C:\Users\mengu\PycharmProjects\scythe,4,63343769,60.41 MB
python,C:\Users\mengu\PycharmProjects\scythe,4,63343769,60.41 MB
python,C:\Users\mengu\PycharmProjects\scythe,4,63343769,60.41 MB
